1	2	Το καινούργιο τσιφτετέλι
2	3	Περιπλανώμενη ζωή
3	4	Απόψε θέλω να μεθύσω
4	5	Το αδιέξοδο
5	6	ΜΙΑ ΠΑΛΙΑ ΙΣΤΟΡΙΑ
6	7	Ξημερώνει και βραδιάζει
7	8	Κάποιο ηλιοβασίλεμα
8	9	Πολύ στο λούσο το' ριξες
9	10	Πριγκηπομαστούρηδες
10	11	ΤΟ ΨΩΜΙ ΤΗΣ ΞΕΝΙΤΙΑΣ
11	12	Σήκω χόρεψε συρτάκι
12	13	Κόκκινα φανάρια (το καλντερίμι)
13	14	Άναψε το τσιγάρο
14	15	Απ'τον καημό ξεχείλισα
15	16	Της βροχής οι στάλες
16	17	Ζουρλοπαινεμένης γέννα
17	18	Η Μαρίτσα στο χαρέμι
18	19	Βάλτε αρνιά στην ψησταριά
19	20	Άμα ήμουν άλλος
20	21	Αγάπη είχα κι έχασα
21	22	Άνοιξε βαθειά τα στήθια
22	23	Το όνειρο της αδελφής (Ένα όνειρο που είδα)
23	24	Χασαποσέρβικο
24	25	Τα κεριά τα σπαρματσέτα
25	26	Ψαράδες
26	27	Μπάρμπα Σταμάτη
27	28	Που να ‘ναι τέτοια ώρα η αγάπη μου
28	29	Νταντέλα
29	30	Μες την Αθήνα (Παίζουν τα μπουζούκια)
30	31	Κυβέρνησε τα βήματά μου
31	32	Τα όμορφα τα γαλανά σου μάτια
32	33	Η μπόμπα
33	34	Μα τι λέω
34	35	Ντερτιλίδικο (Ρομβία)
35	36	Για μιαν αγάπη που 'χασα
36	37	Η σκληρόκαρδη
37	38	ΦΟΥΜΑ ΦΟΥΜΑ
38	39	Μες την παλιά την Κοκκινιά
39	40	Έρχομαι τον τοίχο τοίχο
40	41	Εγώ είμαι γιος της Κοκκινιάς
41	42	Αχ μουσταφά
42	43	Άλα, άνοιξε κι άλλη μπουκάλα
43	44	Έτσι αγαπάω εγώ
44	45	Λαός και Κολωνάκι
45	46	Λαϊκό τσιγάρο
46	47	Ρίξε στο κορμί μου σπίρτο
47	48	Κλάψε με μάνα κλάψε με
48	49	Φεγγάρι αν είσαι λαμπερό
49	50	Στάθηκα πενιές ν ακούσω
50	51	Ιστορία μου
51	52	Ο αργαλειός
52	53	Ο Μακεδόνας
53	54	Θα χτίσω στην Ελλάδα καινούργιο Χόλυγουντ
54	55	Όλα τα παίρνει ο ποταμός
55	56	Η Δραπετσώνα
56	57	Μη με στέλνεις μάνα στην Αμερική
57	58	Τι τραβούμε εμείς οι άντρες
58	59	Θέλω απόψε να γλεντήσω
59	60	Με γυναίκες μην τραβιέσαι
60	61	Το καπηλειό
61	62	Η τράτα
62	63	Νύχτα αξημέρωτη
63	64	Η σκερτσόζα
64	65	Η μαυρομάτα
65	66	Τα φτωχαδάκια
66	67	Κατεργάρα
67	68	Η σουπιά (Δεν ξαναπιάνω γκόμενα)
68	69	Η άμαξα μες στη βροχή
69	70	Καλημέρα
70	71	Το παράπονο του Μάρκου με το ούτι (Είμαι ένα δερβισάκι)
71	72	Το τελευταίο ραντεβού
72	73	Η λόγχη μας το θέλει
73	74	Ελενάκι βρε κουκλάκι
74	75	Θέλω στα μπουζούκια
75	76	Ταχεία
76	77	Καρδιοκλεφτρα
77	78	Ο θάνατος της μάνας
78	79	Είπα να σβήσω τα παλιά
79	80	Μια μικροπαντρεμένη
80	81	Μεσ' του Φώτη το καπηλειό
81	82	Τέλος δεν έχει ο ουρανός
82	83	Δεν έκανες για σπίτι εσύ
83	84	Το κορίτσι θέλει γάμο
84	85	Εμπρός Παναθηναϊκέ
85	86	Η Καλυβιώτισσα
86	87	Τα πείσματα σου τα κουτά
87	88	Πέθανε ο Αριστείδης
88	89	Ανοιχτά παίζει η σαρδέλα
89	90	Τα ορφανά
90	91	Πάψε να ακούς τη φίλη σου
91	92	Απ' όσες κι αν εγνώρισα (Έχω καημούς αβάσταχτους)
92	93	Διώξε τον μπαξεβάνη σου
93	94	Να ΄χα καρδιά από σίδερο
94	95	Είσαι εσύ ο άνθρωπός μου
95	96	ΤΟ ΛΟΥΛΟΎΔΑΚΙ ΤΟΥ ΜΠΑΞΈ
96	97	Δυο μαύρα μάτια γνώρισα
97	98	Απόψε κάνεις μπαμ
98	99	Νύχτες μαγικές
99	100	Ο τραυματίας
100	101	Χαράμισα τα νιάτα μου
101	102	Της φτώχειας τα κουρέλια
102	103	Στην εποχή του Πάγκαλου
103	104	Ανάθεμα την ώρα
104	105	Το ορφανό παιδί
105	106	Στην Πάρο και στη Νάξο
106	107	Ο ζητιάνος της αγάπης
107	108	Σε θυμήθηκα και πάλι
108	109	Το σπίτι έμεινε ορφανό (Εχθές αργά το δειλινό)
109	110	Της μαστούρας ο σκοπός
110	111	Μ' ένα καράβι φορτηγό
111	112	Ο γκρινιάρης
112	113	Ανήμπορος
113	114	Απόψε στις ακρογιαλιές
114	115	Κατηγορούμενο κορμί
115	116	Όπου και να πας
116	117	Η Μαργαρίτα
117	118	Ο ταξιδιώτης (Τρεχαντηράκι)
118	119	Άγνωστη αγαπημένη
119	120	Μαρτύριο
120	121	Τα μπλε παράθυρα
121	122	Το παλιό κρεβάτι
122	123	Ελένη Ελενάκι
123	124	Χρόνια στον Περαία
124	125	Η μικρή του καμηλιέρη
125	126	Γιατί άλλαξες, γιατί
126	127	Που πας χωρίς αγάπη
127	128	ΥΠΑΡΧΩ
128	129	Οι εξισώσεις
129	130	Θα γυρίσει κι ο τροχός
130	131	Μάγισσα (Στην ερημιά, την εξοχή)
131	132	Φύγε δε σε θέλω πια κοντά μου
132	133	Η ντερμπεντέρισσα (Τρέξε μάγκα να ρωτήσεις)
133	134	Από τα πεντέμια πέφτω
134	135	Σε δείλιασε η φτώχεια μου
135	136	Θα σε στεφανωθώ
136	137	Για μια κόρη ξελογιάστρα
137	138	Δεν ζούμε εμείς οι μάγκες
138	139	Τα λερωμένα τ' άπλυτα
139	140	Πίνω και μεθώ
140	141	Τα μαύρα μάτια
141	142	Καλογεράκι
142	143	Θα σπάσει το μπουζούκι μου
143	144	Ψευτοφίλια
144	145	Ντυμένη σαν αρχόντισσα
145	146	Που ‘σαι Θανάση
146	147	Σε διώξαν απ' την Κοκκινιά
147	148	Επιάσανε τον Μπάτη
148	149	Το κόκκινο φουστάνι
149	150	Γελασμένος
150	151	Τα παιδιά του Πειραιά
151	152	Απόψε με την κούρσα μου
152	153	Συχνότητα (Μοσχολιού)
153	154	Το πικραμένο αγόρι
154	155	Χασαπάκι δεν σε θέλω πια
155	156	Κάποια κάπου κάποτε
156	157	Και σύ δεν έχεις μπέσα
157	158	Πειραιώτικο ταξίμι
158	159	Ξενύχτης πάλι έμεινα
159	160	Με το παλιό σακκάκι
160	161	Η καρδιά του μάγκα
161	162	Πω πω πω Μαρία
162	163	Ποιος είμαι μη ρωτάς
163	164	Για σένανε κουκλίτσα μου
164	165	Με τριγυρίζει μια φωτιά
165	166	Ο Μπάτης ο ντερβίσης
166	167	Βαριά χτυπούν τα σήμαντρα
167	168	Δηλητήριο στη φλέβα
168	169	Κάρμεν στην Αθήνα
169	170	Ο καθρέφτης
170	171	Σβήστε με απ τον χάρτη
171	172	Μάγισσες φέρτε βότανα
172	173	Δεν σ' αγαπώ σε μίσησα
173	174	Ο πόνος του πρεζάκια
174	175	Μαριώ και μανάβης
175	176	Φταις εσύ γιατί μεθάω
176	177	Στην Ελευσίνα μια φορά
177	178	Θεατρίνα
178	179	Δε μου μιλάς δε με κοιτάς
179	180	Έλα να πάμε τσάρκα
180	181	Μπέκρος δεν είμαι
181	182	Οι ζαργάνες
182	183	Τραγιάσκες
183	184	παραπονεμένα λόγια
184	185	Ποιος ασίκης
185	186	Της το βγάλανε
186	187	Μην περιμένεις πια
187	188	Το μάγκικο
188	189	Καλέ μάνα δεν μπορώ
189	190	Ανάθεμά σε
190	191	Με λες μπεκρή και μπατιράκι
191	192	Πάρε με Μάρω, πάρε με
192	193	Σε παλάτια σε τσαντίρια
193	194	Η αλανιάρα
194	195	Πιο πέρα απ το Τζάνειο
195	196	ο Βαγγέλης της μαμής
196	197	Η βαλίτσα
197	198	Την τελευταία μου ζαριά
198	199	Πενιές Παπαιωάννου
199	200	Γκρεμίζουν την Αθήνα την παλιά
200	201	Η τσαχπίνα
201	202	Στον καθρέφτη σου κοιτιέσαι
202	203	Σαν ρουφάω το κρασί
203	204	Αχ χελιδόνι μου
204	205	Δερβισάκι
205	206	κανε κουραγιο
206	207	Το κουτσαβάκι
207	208	Διπλόχορδο τσιφτετέλι
208	209	Οι φωνογραφητζήδες
209	210	Πειραιώτισσα
210	211	Μπάλος
211	212	Μα είναι και θεός
212	213	Θέλω να πίνεις να μεθας
213	214	Όταν πέφτει το βραδυ
214	215	Με το στόμα γεμάτο φιλιά
215	216	Η νοσταλγία
216	217	Μας πήρανε χαμπάρι
217	218	Ο ταχυδρόμος θα μας χωρίσει
218	219	Κοτσάκια (Να σ’ αγαπώ ήντα ‘θελα)
219	220	Δεν με στεφανώνεσαι
220	221	Τα βάσανα μου σε ποιόν να πω
221	222	Όταν πίνει μια γυναίκα
222	223	Ο άρρωστος
223	224	Ώιντε μπρε
224	225	Η Αρμενίτσα
225	226	Στην αθηνα το βραδυ
226	227	Το βλέπω θα πεθάνω
227	228	Έκλαψα χτες
228	229	Ο μήνας έχει εννιά
229	230	Είμαστε ίσα τώρα
230	231	Το οργανάκι
231	232	Σε τούτο το παλιόσπιτο
232	233	Δεν είναι όνειρο η ζωή
233	234	Τα δυο χαστούκια
234	235	Εγώ μάγκας φαινόμουνα
235	236	Γιορτάζεις σήμερα
236	237	Την πιο ωραία μου ζωή
237	238	Άλλον αγαπώ
238	239	Φόρα τα κόκκινα
239	240	Καλλιοπάκι (Πάλι μεθυσμένος)
240	241	Κακαβιά (Σία κι αράξαμε)
241	242	Θα το ‘γραψε η μοίρα μου
242	243	Μην κλαίς μανούλα μου
243	244	Μαριγούλα
244	245	Έχει η Ελλάδα ομορφιές
245	246	Τα καβουράκια
246	247	Έχω ζάλη
247	248	Άιντε ρε μόρτη Πειραιώτη
248	249	Μαχαρανή
249	250	Τώρα που θα φύγεις
250	251	Με θαμπώνουν οι ματιές σου
251	252	Κάποια μάνα αναστενάζει
252	253	Λεβέντικος χορός
253	254	Με πλάνεψες μποέμισσα
254	255	Ο Βαγγέλης
255	256	Μάγκας βγήκε για σεργιάνι
256	257	Μη θες να τυραννιούμαι
257	258	Πάνω σ' ένα βράχο (Σ' ένα βράχο φαγωμένο)
258	259	Στο Βοτανικό
259	260	Ο γέρος
260	261	Από τις παρανομίες μου
261	262	Ο μαστούρας (Σαν μαστουριάσω και γινώ)
262	263	Τι θέλεις που γεννιέσαι
